,id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,latitude,longitude,country,city
3391,4140,somerville_GVA,,followers,/home/usnish/twitter_ypcdn/img/4802630314.jpg,0.3367,10,600,triangle-down,ncdaction.dat,297,4802630314,0.495,321,46.2044,6.1432,Switzerland,Geneva
3392,4068,Fhumura,,followers,/home/usnish/twitter_ypcdn/img/1533128430.jpg,0.1391,22,834,triangle-up,ncdaction.dat,1582,1533128430,1.8969,3245,-1.9403,29.8739,Rwanda,
3393,3034,CristinaCC7,,followers,/home/usnish/twitter_ypcdn/img/468479507.jpg,0.7447,7,225,triangle-down,ncdaction.dat,94,468479507,0.4178,91,-41.2865,174.7762,New Zealand,Wellington
3394,3268,RIO_Deakin,,followers,/home/usnish/twitter_ypcdn/img/2602729214.png,0.5724,17,136,triangle-up,ncdaction.dat,297,2602729214,2.1838,1348,-25.2744,133.7751,Australia,
3398,2507,Celeste1ul,,followers,/home/usnish/twitter_ypcdn/img/3616455856.jpg,0.0,0,896,triangle-down,ncdaction.dat,44,3616455856,0.0491,21,40.8258,-96.6852,United States,Lincoln
3399,1730,jessicaksmith,,followers,/home/usnish/twitter_ypcdn/img/59518891.jpg,0.4328,187,4584,triangle-down,ncdaction.dat,4321,59518891,0.9426,4816,39.9853,-75.2228,United States,Philadelphia
3400,1902,nikkiku,,followers,/home/usnish/twitter_ypcdn/img/16103664.jpg,0.0962,1,242,triangle-down,ncdaction.dat,104,16103664,0.4298,276,13.7563,100.5018,Thailand,Bangkok
3401,3187,SimoneBoesch,,followers,/home/usnish/twitter_ypcdn/img/2338717038.jpg,1.1765,22,138,triangle-up,ncdaction.dat,187,2338717038,1.3551,470,51.5074,-0.1278,United Kingdom,London
3402,925,croakeyblog,,followers,/home/usnish/twitter_ypcdn/img/82279998.jpg,0.5920000000000001,1123,3733,triangle-up,ncdaction.dat,18970,82279998,5.0817,193081,-31.2532,146.9211,Australia,
3405,471,NoTime_ToLose,,followers,/home/usnish/twitter_ypcdn/img/594505164.jpg,0.2838,52,1188,triangle-up,ncdaction.dat,1832,594505164,1.5421,647,55.3781,-3.436,United Kingdom,
3406,4003,TresorCyiza,,followers,/home/usnish/twitter_ypcdn/img/727004638860447744.jpg,0.0,0,60,triangle-down,ncdaction.dat,24,727004638860447744,0.4,31,-2.6078,29.7368,Rwanda,Butare
3408,4048,Health24Ug,,followers,/home/usnish/twitter_ypcdn/img/864208568974757890.jpg,0.0,0,78,triangle-down,ncdaction.dat,6,864208568974757890,0.0769,8,0.3476,32.5825,Uganda,Kampala
3409,1013,Go_Jac,,followers,/home/usnish/twitter_ypcdn/img/752885947.jpg,0.4373,15,862,triangle-down,ncdaction.dat,343,752885947,0.3979,9778,52.1307,-3.7837,United Kingdom,
3410,3302,sedebubo,,followers,/home/usnish/twitter_ypcdn/img/92619556.png,0.9756,16,326,triangle-down,ncdaction.dat,164,92619556,0.5031,1243,40.4168,-3.7038,Spain,Madrid
3411,1401,Unni_Gopinathan,,followers,/home/usnish/twitter_ypcdn/img/66639921.jpg,0.2534,17,1010,triangle-down,ncdaction.dat,671,66639921,0.6644,3627,59.9139,10.7522,Norway,Oslo
3412,2,krsiegel,,followers,/home/usnish/twitter_ypcdn/img/263959868.jpg,0.4036,9,109,triangle-up,ncdaction.dat,223,263959868,2.0459,431,33.749,-84.388,United States,Atlanta
3413,1785,JimenaMarquez1,,followers,/home/usnish/twitter_ypcdn/img/306112274.jpg,0.531,6,424,triangle-down,ncdaction.dat,113,306112274,0.2665,128,40.4637,-3.7492,Spain,
3415,1495,alizachana,,followers,/home/usnish/twitter_ypcdn/img/53920808.jpg,0.3544,28,1693,triangle-down,ncdaction.dat,790,53920808,0.4666,1751,35.9132,-79.0558,United States,Chapel Hill
3416,1142,SAKGF,,followers,/home/usnish/twitter_ypcdn/img/31350804.jpg,0.2202,173,1489,triangle-up,ncdaction.dat,7858,31350804,5.2774,3126,-37.8136,144.9631,Australia,
3417,705,rokhrzic,,followers,/home/usnish/twitter_ypcdn/img/23218631.jpg,0.2747,10,742,triangle-down,ncdaction.dat,364,23218631,0.4906,499,46.5547,15.6459,Slovenia,Maribor
3418,145,healthystadia,,followers,/home/usnish/twitter_ypcdn/img/324896746.jpg,0.3146,55,1464,triangle-up,ncdaction.dat,1748,324896746,1.194,4478,54.526,15.2551,,
3419,2841,0ff23211951b449,,followers,/home/usnish/twitter_ypcdn/img/3082322560.jpg,0.3191,3,294,triangle-down,ncdaction.dat,94,3082322560,0.3197,355,-1.2921,36.8219,Kenya,Nairobi
3422,758,andyYchang,,followers,/home/usnish/twitter_ypcdn/img/296591329.jpg,0.2504,15,860,triangle-down,ncdaction.dat,599,296591329,0.6965,957,37.4241,-122.1661,United States,Stanford
3423,1058,KerryFurnell,,followers,/home/usnish/twitter_ypcdn/img/1629231552.png,0.4795,14,437,triangle-down,ncdaction.dat,292,1629231552,0.6682,12066,-37.8333,145.35,Australia,Mount Dandenong
3424,4271,Tobacconomics,,followers,/home/usnish/twitter_ypcdn/img/1242076909.png,0.2747,42,289,triangle-up,ncdaction.dat,1529,1242076909,5.2907,2985,41.8704,-87.6675,United States,Chicago
