id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,indegree,outdegree,degree
2266,docneto,,followers,/home/usnish/twitter_ypcdn/img/282247950.png,2.5,219,813,triangle-up,ncdaction.dat,876,282247950,1.0775,4531,11,12,23
4135,DrSaleemAhmed2,,followers,/home/usnish/twitter_ypcdn/img/830881173601665024.jpg,0.0,0,975,triangle-down,ncdaction.dat,74,830881173601665024,0.0759,6,1,15,16
2361,StripeyJumpers,,followers,/home/usnish/twitter_ypcdn/img/109538489.jpg,0.1639,4,839,triangle-down,ncdaction.dat,244,109538489,0.2908,549,19,44,63
4218,Rothcambodia,,followers,/home/usnish/twitter_ypcdn/img/883709824592093184.jpg,0.0,0,373,triangle-down,ncdaction.dat,11,883709824592093184,0.0295,199,0,15,15
4026,martyhuyvu,,followers,/home/usnish/twitter_ypcdn/img/861897365736652801.jpg,0.0,0,98,triangle-down,ncdaction.dat,3,861897365736652801,0.0306,1,1,12,13
1634,AllisaRobertson,,followers,/home/usnish/twitter_ypcdn/img/1745764974.jpg,0.0,0,167,triangle-down,ncdaction.dat,18,1745764974,0.1078,2,11,48,59
3174,type2digest,,followers,/home/usnish/twitter_ypcdn/img/741247047081164802.jpg,0.4688,3,255,triangle-down,ncdaction.dat,64,741247047081164802,0.251,46,1,4,5
3423,ajirobadanie,,followers,/home/usnish/twitter_ypcdn/img/182837486.jpg,0.26,35,539,triangle-up,ncdaction.dat,1346,182837486,2.4972,10340,8,12,20
3227,ratioofsecrecy,,followers,/home/usnish/twitter_ypcdn/img/732920424963710976.png,0.0,0,200,triangle-down,ncdaction.dat,7,732920424963710976,0.035,4,0,5,5
1185,LeanaMay,,followers,/home/usnish/twitter_ypcdn/img/16263952.jpg,0.5128,52,584,triangle-up,ncdaction.dat,1014,16263952,1.7363,3425,52,55,107
3417,CforAH,,followers,/home/usnish/twitter_ypcdn/img/3657075320.png,0.2096,7,174,triangle-up,ncdaction.dat,334,3657075320,1.9195,756,22,19,41
2501,Equityeffects,,followers,/home/usnish/twitter_ypcdn/img/2567868376.jpg,1.3901,31,568,triangle-down,ncdaction.dat,223,2567868376,0.3926,2536,21,46,67
3138,808fuckwit,,followers,/home/usnish/twitter_ypcdn/img/736739712862420992.jpg,0.0,0,793,triangle-down,ncdaction.dat,61,736739712862420992,0.0769,8,0,36,36
1470,trsklar,,followers,/home/usnish/twitter_ypcdn/img/2360927916.jpg,0.9091,1,20,triangle-down,ncdaction.dat,11,2360927916,0.55,2,3,1,4
3560,ADOURGlucometer,,followers,/home/usnish/twitter_ypcdn/img/780419263756701696.jpg,0.2288,17,4899,triangle-down,ncdaction.dat,743,780419263756701696,0.1517,277,5,44,49
4277,Katie_M_Mead,,followers,/home/usnish/twitter_ypcdn/img/788896387199033344.jpg,0.3333,2,288,triangle-down,ncdaction.dat,60,788896387199033344,0.2083,146,0,5,5
1527,cohred,,followers,/home/usnish/twitter_ypcdn/img/242299400.png,0.4282,37,501,triangle-up,ncdaction.dat,864,242299400,1.7246,531,124,90,214
496,yourAMSAglobal,,followers,/home/usnish/twitter_ypcdn/img/183199919.jpg,0.2098,29,336,triangle-up,ncdaction.dat,1382,183199919,4.1131,689,269,96,365
1032,phillipgcrane,,followers,/home/usnish/twitter_ypcdn/img/1862919991.jpg,0.0,0,134,triangle-down,ncdaction.dat,13,1862919991,0.097,3,1,14,15
1624,anitachary,,followers,/home/usnish/twitter_ypcdn/img/1665607964.jpg,0.7258,9,339,triangle-down,ncdaction.dat,124,1665607964,0.3658,78,15,41,56
1496,tatohuayanay,,followers,/home/usnish/twitter_ypcdn/img/627160077.jpg,1.3158,40,723,triangle-down,ncdaction.dat,304,627160077,0.4205,1725,7,37,44
871,MoussaouiHind,,followers,/home/usnish/twitter_ypcdn/img/764935364.jpg,0.0976,2,650,triangle-down,ncdaction.dat,205,764935364,0.3154,245,2,11,13
3065,TamBucher,,followers,/home/usnish/twitter_ypcdn/img/1447109802.jpg,0.3004,24,989,triangle-down,ncdaction.dat,799,1447109802,0.8079,691,33,54,87
4041,kshiprahemal,,followers,/home/usnish/twitter_ypcdn/img/864010202084933633.jpg,0.0,0,160,triangle-down,ncdaction.dat,15,864010202084933633,0.0938,26,0,13,13
2097,woodwood1555,,followers,/home/usnish/twitter_ypcdn/img/2932684049.png,0.2,1,567,triangle-down,ncdaction.dat,50,2932684049,0.0882,0,0,0,0
3319,Sweet14u88,,followers,/home/usnish/twitter_ypcdn/img/54658740.jpg,0.0,0,534,triangle-down,ncdaction.dat,78,54658740,0.1461,90,0,7,7
3790,BelsonSarah,,followers,/home/usnish/twitter_ypcdn/img/714509667.jpg,0.5405,4,161,triangle-down,ncdaction.dat,74,714509667,0.4596,246,5,24,29
4250,tabletsrev,,followers,/home/usnish/twitter_ypcdn/img/3484582094.jpg,2.0343,83,2122,triangle-down,ncdaction.dat,408,3484582094,0.1923,1363,0,25,25
3855,Tania_RuizL,,followers,/home/usnish/twitter_ypcdn/img/2723523432.jpg,0.1739,2,793,triangle-down,ncdaction.dat,115,2723523432,0.145,196,9,83,92
30,C3health,,followers,/home/usnish/twitter_ypcdn/img/159134280.jpg,0.5259,208,3914,triangle-up,ncdaction.dat,3955,159134280,1.0105,9883,711,457,1168
2002,GADAAlliance,,followers,/home/usnish/twitter_ypcdn/img/2833664601.png,0.2715,12,201,triangle-up,ncdaction.dat,442,2833664601,2.199,367,12,21,33
1747,TaraBoelsenR,,followers,/home/usnish/twitter_ypcdn/img/1895527399.jpg,0.3276,17,454,triangle-up,ncdaction.dat,519,1895527399,1.1432,1877,108,91,199
547,jeremy_schwartz,,followers,/home/usnish/twitter_ypcdn/img/905072382.jpg,0.4545,8,214,triangle-down,ncdaction.dat,176,905072382,0.8224,148,76,74,150
2490,Health_Affairs,,followers,/home/usnish/twitter_ypcdn/img/15235829.jpg,0.2625,3387,626,triangle-up,ncdaction.dat,129045,15235829,206.1422,15811,850,19,869
1564,MonashCrossBord,,followers,/home/usnish/twitter_ypcdn/img/2318774108.jpg,0.0926,1,96,triangle-up,ncdaction.dat,108,2318774108,1.125,49,30,19,49
3975,NutriTots,,followers,/home/usnish/twitter_ypcdn/img/849360847382216704.jpg,0.0,0,133,triangle-down,ncdaction.dat,22,849360847382216704,0.1654,58,0,3,3
3577,nyanzitimothy,,followers,/home/usnish/twitter_ypcdn/img/1097894742.jpg,0.1075,1,433,triangle-down,ncdaction.dat,93,1097894742,0.2148,79,0,6,6
2658,LisaSglobal,,followers,/home/usnish/twitter_ypcdn/img/1168624142.png,0.6111,33,345,triangle-up,ncdaction.dat,540,1168624142,1.5652,3172,113,87,200
2842,openspecimen,,followers,/home/usnish/twitter_ypcdn/img/1181815068.jpg,1.3305,31,216,triangle-up,ncdaction.dat,233,1181815068,1.0787,513,1,6,7
2805,AlessiaMortara,,followers,/home/usnish/twitter_ypcdn/img/2319551929.jpg,0.6407,23,1482,triangle-down,ncdaction.dat,359,2319551929,0.2422,538,25,97,122
1323,doironro,,followers,/home/usnish/twitter_ypcdn/img/258650093.jpg,0.2913,9,1181,triangle-down,ncdaction.dat,309,258650093,0.2616,74,10,48,58
624,IAHFnews,,followers,/home/usnish/twitter_ypcdn/img/244250728.jpg,0.7282,45,358,triangle-up,ncdaction.dat,618,244250728,1.7263,1230,110,82,192
